"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"9358","K19532",64,43,75,67,63,91,109,122,185,202,266,139,77,144,96,59
"9359","K19540",0,9,22,15,221,128,95,108,108,54,77,91,113,82,90,181
"9360","K19542",997,954,1491,1267,929,910,2443,1808,2689,2569,2358,1861,1568,2207,1593,1517
"9361","K19545",787,587,461,665,394,334,300,210,178,179,150,367,243,305,283,346
"9362","K19547",12,14,25,23,5,19,23,13,37,32,22,27,22,41,18,21
"9363","K19548",1265,1247,1098,1460,836,1153,813,721,1024,985,802,1566,1502,1466,1123,1177
"9364","K19551",0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"9365","K19554",0,2,7,6,0,2,0,0,0,0,0,0,0,0,0,0
"9366","K19561",0,0,6,0,0,10,8,3,2,8,1,0,0,0,0,0
"9367","K19562",53,35,19,69,6,30,102,102,47,88,71,82,47,68,105,48
"9368","K19563",5,6,6,0,2,8,4,2,0,0,3,0,0,0,0,0
"9369","K19564",57,64,84,67,58,57,408,269,361,444,352,83,63,75,61,52
"9370","K19569",11,13,9,19,15,17,5,7,5,2,4,29,28,24,25,39
"9371","K19572",14,10,102,16,9,38,175,123,55,209,173,74,58,56,57,51
"9372","K19575",136,154,88,179,326,47,65,63,28,37,16,64,76,53,63,75
"9373","K19576",49,25,78,46,19,19,23,24,42,8,17,226,181,150,136,143
"9374","K19577",715,601,1123,834,673,1184,2596,2324,2658,2657,2649,1368,1233,1509,953,994
"9375","K19578",398,300,319,392,390,255,188,160,231,197,196,282,239,232,257,192
"9376","K19580",0,0,11,0,0,6,6,3,1,12,42,0,0,0,0,0
"9377","K19584",2,2,4,7,0,10,0,2,0,7,12,0,0,0,0,0
"9378","K19585",101,83,330,95,162,415,1375,942,829,816,974,242,196,262,258,214
"9379","K19586",168,163,253,209,179,178,893,687,814,731,827,381,362,411,301,249
"9380","K19587",22,10,39,28,16,14,39,45,35,24,43,23,9,22,12,7
"9381","K19588",0,1,9,0,8,4,23,55,65,58,29,18,5,22,10,10
"9382","K19591",1030,910,1169,1243,1439,1133,2504,2496,2813,2751,2788,1302,1116,1461,1273,1145
"9383","K19592",38,29,43,23,48,49,101,99,105,110,72,157,238,178,159,209
"9384","K19593",0,2,30,2,5,17,4,8,3,17,9,0,4,0,10,0
"9385","K19594",29,20,82,44,37,57,98,130,116,121,129,96,129,78,118,84
"9386","K19595",6,4,1,0,0,0,25,32,31,41,30,36,26,27,28,24
"9387","K19597",44,62,113,72,91,69,458,371,518,478,471,177,148,163,76,184
"9388","K19602",25,16,4,4,2,1,0,0,0,0,0,0,0,0,0,0
"9389","K19607",5,6,6,6,4,7,92,37,76,107,64,1,2,5,10,2
"9390","K19609",5,19,45,9,9,35,27,27,21,26,21,4,3,2,0,0
"9391","K19610",515,625,649,751,404,173,16,11,16,22,7,70,31,9,11,27
"9392","K19611",25,18,21,28,11,34,194,275,175,252,247,11,0,0,4,2
"9393","K19612",2,2,9,6,0,2,2,2,4,0,0,0,0,0,0,0
"9394","K19614",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"9395","K19616",28,27,182,19,58,250,842,669,775,798,773,46,34,26,52,59
"9396","K19617",0,2,0,0,0,6,0,1,6,0,1,0,4,1,3,2
"9397","K19618",11,25,49,4,22,53,93,137,104,120,133,14,1,9,3,9
"9398","K19620",403,289,113,340,49,89,128,101,110,173,259,373,328,445,568,477
"9399","K19621",34,16,36,22,32,19,107,63,129,107,75,318,191,219,195,248
"9400","K19623",42,31,26,29,35,10,124,53,97,97,100,286,250,359,289,329
"9401","K19640",84,120,321,83,113,590,903,676,453,535,819,170,82,81,152,110
"9402","K19641",215,263,559,240,201,785,1053,1018,752,904,1236,621,466,308,536,291
"9403","K19645",15,6,25,13,2,48,4,9,20,6,14,8,9,1,10,0
"9404","K19647",47,29,41,42,26,18,124,96,162,110,137,81,53,57,57,64
"9405","K19654",6,2,0,0,10,8,0,0,0,0,0,0,0,0,0,0
"9406","K19658",158,145,248,224,192,298,635,475,612,616,660,333,241,383,214,257
"9407","K19659",81,114,8,28,39,17,38,25,14,20,23,8,8,8,10,12
"9408","K19661",384,287,596,231,372,754,1317,989,926,1005,1358,481,347,315,614,359
"9409","K19664",489,395,410,604,401,108,112,108,74,66,71,555,474,521,437,589
"9410","K19665",28,37,18,55,108,21,10,3,2,0,2,108,75,37,30,45
"9411","K19666",6,7,6,6,6,17,18,19,24,27,32,36,35,43,29,33
"9412","K19668",1027,1110,320,1008,759,262,402,332,431,419,484,1328,892,772,1205,764
"9413","K19670",172,182,257,134,161,251,705,646,836,840,836,316,253,334,306,208
"9414","K19672",5,8,9,8,6,15,6,9,17,22,38,6,1,2,3,3
"9415","K19673",7,9,14,2,4,2,51,54,41,48,23,16,13,10,11,2
"9416","K19683",2,2,2,1,0,0,0,7,5,7,0,0,5,14,8,0
"9417","K19686",168,167,257,225,156,212,710,572,803,744,706,569,415,512,383,388
"9418","K19687",84,57,126,100,80,119,393,300,421,411,400,269,230,309,186,214
"9419","K19688",0,0,9,0,0,0,4,8,9,8,4,0,0,0,0,0
"9420","K19689",6230,6239,5489,7808,5059,3081,2198,1895,2262,1905,1483,5829,4926,5733,5149,4923
"9421","K19691",811,778,1243,816,639,960,2370,2231,2345,2502,2797,1875,1818,2030,1612,1579
"9422","K19692",135,106,121,209,170,116,156,101,113,124,130,47,49,35,34,16
"9423","K19693",7,4,37,11,3,45,148,145,112,121,129,29,20,22,78,18
"9424","K19694",2112,2343,2276,2578,625,1439,1886,1821,1528,1618,1656,3986,3431,3643,3889,3083
"9425","K19696",69,53,111,49,90,78,285,226,202,216,193,127,88,83,49,41
"9426","K19701",6210,5846,2370,7184,2492,1370,2196,2010,2078,2472,2078,10207,7997,9445,9183,8310
"9427","K19702",2926,2276,1571,2596,994,1543,772,712,764,1055,1026,2708,2015,2284,2134,2094
"9428","K19703",460,429,261,457,164,282,112,117,133,135,97,468,389,334,229,202
"9429","K19704",6,5,5,17,0,4,0,0,0,0,0,0,0,0,0,0
"9430","K19706",686,680,534,803,260,204,604,542,696,664,615,599,618,628,454,612
"9431","K19707",54,50,88,61,39,100,365,325,350,412,474,101,112,153,110,105
"9432","K19709",2,0,5,7,2,2,8,15,8,10,10,59,20,24,12,7
"9433","K19710",2870,2849,2294,3550,1543,1382,1515,1007,1366,1161,1133,4496,3706,4193,3829,3670
"9434","K19712",512,571,162,447,536,93,13,5,8,4,0,449,408,443,380,421
"9435","K19713",367,425,790,392,313,811,1930,2046,1910,2057,2273,660,543,539,629,412
"9436","K19714",45,32,22,13,11,27,206,295,280,228,371,153,135,141,91,102
"9437","K19715",977,933,722,1159,981,537,734,1051,1285,949,1070,1607,1446,1424,1505,1121
"9438","K19719",0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
"9439","K19720",32,31,58,39,48,34,37,38,66,70,88,58,34,48,36,61
"9440","K19721",0,0,0,2,2,2,2,12,1,5,2,2,9,5,0,6
"9441","K19731",7,10,37,7,10,39,151,174,160,261,248,44,56,58,71,45
"9442","K19732",42,30,75,33,50,49,93,88,109,96,91,70,68,68,65,53
"9443","K19733",26,22,26,23,14,21,55,72,81,106,137,41,43,59,36,37
"9444","K19734",23,19,67,9,16,76,69,69,59,63,34,60,30,18,36,22
"9445","K19736",1640,1337,1361,1568,1160,1387,2564,1961,2374,2193,2082,2606,2220,2837,1940,2116
"9446","K19737",0,0,4,2,4,2,19,11,4,12,27,0,0,0,0,0
"9447","K19742",1,0,1,0,2,2,0,0,0,0,0,3,6,6,7,2
"9448","K19743",6,2,79,4,9,58,77,161,143,160,127,2,0,6,3,3
"9449","K19744",5,2,13,13,13,13,40,44,53,52,59,34,12,15,9,8
"9450","K19745",440,437,883,578,467,1006,2039,1748,1863,1782,2237,1286,1057,1198,874,951
"9451","K19746",158,177,515,204,215,459,1069,939,964,1128,1254,322,301,409,312,327
"9452","K19760",0,0,0,9,0,0,13,2,4,8,10,0,0,0,0,0
"9453","K19761",94,76,81,69,432,130,136,180,133,136,153,83,66,67,56,47
"9454","K19775",11,18,2,10,5,12,12,9,14,17,7,40,28,33,26,32
"9455","K19776",43,49,92,76,47,69,246,208,250,290,298,160,158,135,153,160
"9456","K19777",31,28,47,66,32,86,75,46,92,50,49,99,59,92,26,41
"9457","K19778",8,18,10,1,9,8,20,36,20,30,19,38,39,25,10,15
"9458","K19782",51,52,4,46,0,0,0,0,0,0,0,0,0,0,0,0
"9459","K19783",101,104,210,133,154,267,389,506,614,466,318,195,187,209,222,211
"9460","K19784",1604,1413,1662,1676,1702,1599,3219,2895,3391,3254,3047,2842,2255,3015,2489,2417
"9461","K19785",26,11,19,35,7,18,25,61,69,62,25,44,51,45,26,8
"9462","K19787",6,13,12,10,6,4,4,2,2,7,0,0,0,0,0,0
"9463","K19788",1,11,16,9,6,11,10,26,16,23,21,4,0,0,0,8
"9464","K19789",1398,1290,2113,1374,1365,2829,1180,1008,1367,1411,1197,2943,2171,1921,2700,1762
"9465","K19791",309,283,421,363,307,316,746,779,873,1068,800,410,385,441,260,292
"9466","K19792",4,0,7,0,0,5,71,72,79,82,71,25,37,36,20,19
"9467","K19793",1201,1188,1299,1311,1334,1539,2396,2033,2264,2197,2293,2406,1880,2017,2120,1724
"9468","K19794",16,10,73,24,26,56,138,53,109,147,148,65,28,59,34,32
"9469","K19796",3,10,36,4,21,12,17,8,0,0,0,46,51,106,124,56
"9470","K19797",7,2,27,9,2,15,14,4,4,5,4,49,0,0,0,0
"9471","K19801",10,13,26,14,9,24,0,1,6,0,7,66,74,120,164,121
"9472","K19802",3522,3378,3069,3469,2287,2054,2859,2628,3137,3216,3173,5481,4804,5829,4996,5128
"9473","K19803",18,22,26,5,13,10,40,18,23,13,21,34,41,27,33,26
"9474","K19804",227,244,779,263,652,1025,1839,1757,1575,1649,1706,323,272,256,317,182
"9475","K19806",4,7,2,2,4,4,0,0,0,0,0,0,0,0,0,0
"9476","K19810",33,69,184,93,49,128,460,549,390,541,455,72,90,78,60,30
"9477","K19811",416,331,511,458,347,604,700,667,945,695,648,662,640,794,466,557
"9478","K19813",162,131,318,219,148,207,1312,1187,1392,1501,1372,508,512,579,437,467
"9479","K19814",441,360,64,206,1255,66,4,0,0,2,10,70,76,108,108,151
"9480","K19817",634,640,412,612,728,186,39,21,12,9,3,357,295,414,408,350
"9481","K19824",302,255,623,298,746,1808,244,171,95,140,65,307,319,254,262,257
"9482","K19826",178,158,241,237,191,182,187,197,246,251,146,235,287,284,188,209
"9483","K19828",2,4,2,12,2,8,0,2,0,3,2,8,0,4,4,6
"9484","K19837",45,53,110,66,27,94,271,213,256,233,298,77,68,100,102,65
"9485","K19844",0,5,2,4,2,4,0,0,0,0,0,0,0,0,0,0
"9486","K19852",6,12,6,2,0,8,0,0,6,0,0,0,0,0,4,2
"9487","K19854",1886,1599,827,2381,316,475,662,516,642,626,498,1769,1352,1968,1769,1644
"9488","K19856",6,4,0,1,2,0,15,16,14,18,28,8,6,34,16,18
"9489","K19860",0,5,4,2,2,6,0,0,0,0,0,0,0,0,0,0
"9490","K19862",7,2,42,22,7,20,15,12,10,4,12,0,0,0,0,0
"9491","K19867",3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"9492","K19876",4,4,4,2,0,2,0,14,10,4,2,50,6,8,0,0
"9493","K19877",12,20,135,10,50,100,222,316,285,362,333,25,33,48,31,27
"9494","K19882",0,0,8,4,0,9,225,233,131,144,245,6,4,0,6,2
"9495","K19883",1,0,17,4,0,0,36,41,43,30,33,0,0,0,0,0
"9496","K19919",22,8,39,6,9,38,44,44,37,34,48,91,118,186,151,116
"9497","K19932",2,9,7,9,7,10,2,6,13,4,4,0,0,0,0,0
"9498","K19938",28,28,117,31,47,190,302,240,214,316,360,101,72,101,98,62
"9499","K19954",776,751,702,950,1339,959,346,295,357,318,264,1389,1174,1185,1456,1250
"9500","K19955",4324,4163,3185,4948,5959,3463,691,471,314,308,209,3471,2733,3402,3080,2979
"9501","K19956",2103,2052,1017,2465,692,425,334,224,269,263,178,1513,1236,1513,1428,1418
"9502","K19961",8,7,3,4,4,4,29,10,27,21,8,15,4,19,8,5
"9503","K19963",18,15,19,18,6,14,14,12,18,18,7,24,22,36,19,33
"9504","K19966",19,34,47,50,29,25,103,67,99,83,87,66,49,66,73,46
"9505","K19967",759,647,749,832,378,577,1419,1260,1610,1496,1339,812,689,839,676,669
"9506","K19969",3,0,11,9,4,6,1,6,3,16,6,4,8,5,6,5
"9507","K19970",0,17,10,15,1,0,20,14,9,11,8,10,4,2,6,0
"9508","K19971",0,2,6,2,2,0,0,0,8,5,4,0,0,0,0,0
"9509","K19973",4,0,9,0,1,10,26,54,91,69,117,88,65,46,112,80
"9510","K19975",1,2,12,2,3,8,45,48,116,92,136,15,8,14,5,42
"9511","K19976",1505,1416,1273,1895,611,362,333,266,384,235,318,1689,1459,1567,1461,1486
"9512","K19978",35,18,8,28,10,21,50,31,58,33,41,19,3,8,17,8
"9513","K19982",0,4,2,0,0,4,87,62,45,35,61,27,21,26,8,16
"9514","K19995",3,4,9,4,2,6,0,0,0,0,0,0,0,0,0,0
"9515","K19997",1638,1930,1404,2406,625,660,319,267,264,360,200,918,765,1055,856,966
"9516","K19998",4,2,9,7,6,6,2,8,0,2,2,0,0,0,0,10
"9517","K20011",34,19,6,13,8,4,7,4,10,3,4,0,0,2,0,3
"9518","K20021",1049,847,433,1176,685,226,152,163,49,89,58,595,476,702,587,582
"9519","K20022",22,13,10,26,14,16,30,44,111,74,33,19,18,59,15,7
"9520","K20023",272,316,535,461,307,351,1356,1232,1767,1454,1488,659,572,699,530,482
"9521","K20025",193,174,48,135,41,139,11,2,0,3,3,443,363,333,708,353
"9522","K20026",131,91,39,77,38,5,8,6,4,2,3,14,10,16,14,8
"9523","K20032",14,10,30,9,26,17,26,36,36,39,38,51,36,31,39,42
"9524","K20034",323,294,909,315,407,1003,1978,2105,2170,2360,2588,616,544,688,649,501
"9525","K20035",1807,1615,2523,1600,1563,2877,5262,4280,4013,4254,4865,4019,3321,2964,4709,3261
"9526","K20036",90,99,263,114,139,324,643,655,694,632,794,170,176,226,186,177
"9527","K20037",45,27,66,22,61,1440,22,12,47,52,41,38,43,48,27,32
"9528","K20038",278,372,377,409,989,343,60,43,47,52,25,240,225,234,214,218
"9529","K20040",2,7,16,14,6,15,0,4,1,0,0,0,4,4,0,0
"9530","K20045",36,26,18,39,8,7,0,10,4,0,3,0,0,0,3,6
"9531","K20046",12,16,28,10,14,4,32,14,22,23,11,20,30,31,19,7
"9532","K20047",0,6,13,6,12,12,0,3,6,0,0,0,0,0,0,0
"9533","K20051",12,15,22,8,3,10,28,33,26,55,44,12,3,4,15,4
"9534","K20052",0,2,7,4,0,8,9,5,0,0,0,0,0,0,0,0
"9535","K20073",17,14,59,2,17,11,299,321,408,237,287,18,7,20,8,21
"9536","K20074",15595,13953,10687,17853,7807,11180,11955,10006,10624,11092,11927,10167,9239,9315,8155,9024
"9537","K20091",8,8,6,7,10,12,8,2,20,2,12,6,0,0,0,0
"9538","K20092",5,6,37,2,12,94,93,61,65,70,96,241,354,355,269,388
"9539","K20093",84,94,167,56,87,195,18,10,11,15,31,54,50,37,32,23
"9540","K20096",6,15,48,34,63,84,0,2,2,4,5,0,4,10,6,4
"9541","K20098",30,28,58,38,831,71,16,23,13,20,8,21,20,4,18,4
"9542","K20103",4,0,7,4,7,8,9,5,3,10,9,13,6,14,0,13
"9543","K20107",10,6,27,6,15,12,148,180,191,126,140,16,10,15,13,12
"9544","K20108",10,6,27,6,15,12,148,180,191,126,140,16,10,15,13,12
"9545","K20109",0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"9546","K20110",10,13,23,16,9,28,44,36,47,41,64,8,10,8,24,12
"9547","K20111",10,15,0,3,0,0,87,88,76,123,56,2,4,3,2,0
"9548","K20116",72,57,131,134,307,139,103,101,121,97,125,19,11,8,14,14
"9549","K20117",89,73,160,158,329,179,124,121,145,117,150,32,25,21,20,26
"9550","K20118",89,73,160,158,329,179,124,121,145,117,150,32,25,21,20,26
"9551","K20121",10,4,22,21,10,22,0,0,0,0,0,0,0,0,0,0
"9552","K20129",16,6,25,16,9,12,42,36,24,48,38,18,8,19,16,16
"9553","K20133",0,0,0,2,4,0,0,0,0,0,0,2,8,0,6,7
"9554","K20140",2,15,3,14,3,4,6,3,11,9,6,64,16,48,36,20
"9555","K20147",175,151,277,190,189,314,633,526,633,549,524,282,273,345,172,192
"9556","K20148",3,0,0,0,0,2,3,0,2,4,8,0,0,0,0,0
"9557","K20150",9,10,41,4,12,104,52,65,22,32,39,0,0,0,0,0
"9558","K20151",461,451,391,582,141,319,94,68,108,129,95,853,627,856,736,805
"9559","K20156",9,3,8,35,12,9,0,0,0,0,0,161,91,53,131,79
"9560","K20157",0,0,4,0,0,2,1,0,5,9,16,1,0,12,13,28
"9561","K20165",0,1,10,2,1,8,0,0,2,2,39,2,0,0,0,69
"9562","K20167",7,8,32,18,10,11,0,0,0,0,0,0,0,0,0,0
"9563","K20168",9,6,11,13,3,5,0,4,0,1,2,0,0,4,0,2
"9564","K20170",26,53,88,80,29,64,22,39,47,10,24,4,14,6,0,0
"9565","K20174",1,8,1,2,0,0,2,0,2,9,4,0,0,0,0,0
"9566","K20175",56,46,8,24,0,0,0,0,0,0,0,6,2,0,0,0
"9567","K20200",10,3,29,6,2,19,74,49,45,41,62,6,0,13,4,3
"9568","K20201",1313,1376,685,2007,716,172,53,47,33,33,7,491,467,770,729,735
"9569","K20202",3,11,11,6,7,10,19,0,6,12,15,51,16,36,45,36
"9570","K20203",8,12,30,0,20,31,45,14,66,48,79,43,38,29,15,21
"9571","K20207",0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0
"9572","K20215",575,614,166,444,655,114,4,3,4,0,0,602,521,561,579,554
"9573","K20216",2,0,7,7,0,7,5,12,5,10,2,0,0,0,0,0
"9574","K20218",9,15,20,14,13,5,87,87,100,112,114,53,32,47,27,39
"9575","K20219",1,2,14,4,2,2,77,45,139,115,153,8,4,24,5,20
"9576","K20222",1,2,6,0,0,1,6,15,13,20,9,0,0,0,0,15
"9577","K20224",0,7,4,3,1,8,0,0,0,0,0,0,0,0,0,0
"9578","K20235",4,2,9,2,5,23,0,0,0,0,0,11,13,5,5,5
"9579","K20238",14,18,1,21,2,0,26,28,9,34,28,35,19,10,20,9
"9580","K20241",10,7,12,15,4,13,25,25,42,45,33,5,1,2,2,0
"9581","K20246",13,16,37,10,23,76,44,39,29,69,135,9,4,7,6,10
"9582","K20248",4,0,6,4,8,0,15,27,29,21,39,19,8,20,6,11
"9583","K20252",4,6,9,16,14,14,33,24,52,23,17,20,12,8,11,5
"9584","K20260",0,8,2,0,0,0,3,4,0,0,8,0,0,0,0,0
"9585","K20261",2,0,6,0,4,0,29,24,44,23,65,14,6,13,12,9
"9586","K20262",4,5,13,18,7,4,17,10,2,12,17,17,14,9,6,14
"9587","K20263",133,121,89,186,47,98,105,84,74,115,76,56,51,69,64,55
"9588","K20264",54,21,84,28,33,196,155,205,228,226,243,158,216,258,208,197
"9589","K20265",370,409,611,515,340,334,744,514,651,670,770,839,730,842,546,773
"9590","K20266",484,363,863,489,528,823,2071,1509,1910,1779,1888,763,729,894,740,680
"9591","K20267",4,5,2,5,7,4,30,17,46,28,31,14,16,4,2,13
"9592","K20272",2,3,0,4,2,0,15,22,28,10,23,2,6,11,5,8
"9593","K20273",1,2,35,0,6,39,94,99,71,159,346,23,22,20,21,18
"9594","K20274",330,309,123,241,33,117,230,212,245,314,304,35,28,48,35,35
"9595","K20276",17449,16502,18429,20600,14413,14398,23397,20800,24262,24561,21879,21779,22240,27978,20655,18721
"9596","K20277",2,0,5,0,0,8,58,18,25,30,27,120,119,74,196,111
"9597","K20279",8,9,16,6,8,12,57,27,15,49,28,61,84,45,23,104
"9598","K20285",872,657,309,1006,60,112,24,38,46,37,18,32,27,42,37,13
"9599","K20298",14,15,6,14,9,16,9,21,23,8,26,6,5,2,12,7
"9600","K20301",7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9601","K20303",0,2,9,4,3,2,0,0,0,0,0,0,0,0,0,0
"9602","K20304",0,2,3,0,6,3,0,2,6,0,0,0,0,0,0,0
"9603","K20307",4,0,0,2,0,0,0,0,0,0,0,0,3,4,6,2
"9604","K20309",8,4,0,0,0,2,0,0,0,0,0,8,8,0,16,0
"9605","K20319",0,0,23,2,0,4,65,57,57,49,58,0,0,0,0,0
"9606","K20325",325,255,508,364,335,301,466,357,623,500,307,409,403,568,297,282
"9607","K20326",0,2,0,3,0,0,27,14,28,26,28,56,27,19,26,21
"9608","K20327",956,874,1161,1302,830,898,1549,1213,1732,1731,1507,1774,1691,1997,1213,1445
"9609","K20329",52,67,121,62,63,124,358,341,412,429,313,134,114,167,111,95
"9610","K20331",181,111,130,151,808,654,119,98,180,161,116,102,91,117,132,104
"9611","K20333",2983,2934,1245,3699,230,526,1296,869,884,828,772,2015,1668,2412,1910,2190
"9612","K20339",18,19,143,44,52,230,36,20,21,10,4,15,16,23,18,26
"9613","K20342",5,0,16,3,5,0,219,271,220,139,86,11,28,6,16,1
"9614","K20344",3212,1320,460,902,1384,347,887,1129,856,673,544,2087,1888,1923,1294,1819
"9615","K20345",1510,652,138,274,405,148,308,509,374,156,139,516,653,457,232,520
"9616","K20347",1,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0
"9617","K20352",3,2,6,1,2,2,0,0,0,0,0,0,0,0,4,8
"9618","K20360",6,2,5,5,4,2,0,8,5,12,6,0,0,0,0,0
"9619","K20362",2,2,10,9,4,4,0,0,0,0,0,3,0,0,0,0
"9620","K20363",2,6,6,5,2,2,0,2,1,10,0,0,0,0,0,0
"9621","K20368",0,6,0,4,0,2,0,0,0,0,0,10,2,4,0,0
"9622","K20370",1148,1210,1309,1541,831,753,1867,1236,1608,1398,1426,1516,1240,1748,1532,1537
"9623","K20372",0,0,4,18,2,5,0,0,5,6,3,0,0,0,2,8
"9624","K20373",0,1,14,1,2,8,45,83,41,39,21,10,9,12,23,13
"9625","K20379",0,0,5,0,4,27,6,4,16,7,25,0,3,2,2,2
"9626","K20382",6,2,16,6,6,4,67,91,46,26,17,0,0,0,0,0
"9627","K20385",6,0,0,0,4,2,28,20,24,13,12,7,8,5,4,6
"9628","K20391",21,16,15,41,3,2,54,25,45,19,12,6,0,5,0,0
"9629","K20409",0,1,26,0,2,6,61,47,8,18,15,10,11,11,2,7
"9630","K20412",0,2,3,0,4,6,20,15,21,19,26,15,6,14,8,11
"9631","K20415",5,0,3,6,0,0,0,0,0,0,0,54,69,24,48,41
"9632","K20417",4,9,6,6,4,5,5,3,8,3,0,8,2,2,0,0
"9633","K20420",107,89,174,140,108,144,365,230,230,231,231,212,182,220,141,173
"9634","K20421",31,20,73,30,42,101,249,296,388,320,200,114,109,133,87,104
"9635","K20423",422,282,92,285,31,93,51,52,45,45,60,144,72,66,133,87
"9636","K20429",2550,2497,1329,2715,1170,1088,628,547,472,547,548,1940,1756,1877,1800,1718
"9637","K20431",35,37,74,50,38,45,128,174,180,207,162,101,71,120,89,90
"9638","K20433",0,0,6,2,2,0,0,0,0,0,0,5,4,4,2,1
"9639","K20444",16490,15365,13901,18099,13409,14026,16935,13726,15584,15194,15109,20812,17826,18215,17208,17025
"9640","K20445",68,95,274,122,326,148,52,31,52,45,45,246,244,267,166,198
"9641","K20446",15,10,21,24,17,6,27,11,6,11,12,67,59,66,54,72
"9642","K20447",9280,8783,6439,11576,5382,3863,2045,1809,2375,2079,1744,8821,7933,9005,7367,7807
"9643","K20448",1769,1780,1523,2313,1278,834,468,434,567,478,368,1357,1080,1377,954,1187
"9644","K20449",270,236,348,279,193,266,877,653,890,897,900,515,485,619,416,488
"9645","K20450",4,6,14,0,9,13,14,13,10,6,5,0,0,3,4,0
"9646","K20451",15,12,43,8,37,21,81,97,48,50,78,6,11,21,21,22
"9647","K20452",2,0,28,12,23,16,49,21,39,20,8,16,9,10,7,17
"9648","K20453",21,36,39,46,40,20,34,24,11,6,13,6,0,1,0,2
"9649","K20454",905,772,1213,1119,2111,1291,820,895,867,938,839,900,697,800,748,806
"9650","K20455",152,155,861,204,277,584,1425,1907,1731,2034,1694,221,205,274,214,214
"9651","K20456",7,22,31,24,19,33,22,8,26,39,44,11,15,6,4,7
"9652","K20457",2,4,3,2,2,6,0,1,0,2,0,8,8,5,14,3
"9653","K20458",9,6,64,2,9,94,131,134,168,107,145,11,1,12,6,4
"9654","K20459",88,41,103,136,88,45,301,238,282,275,264,123,94,81,111,108
"9655","K20460",73,39,66,49,36,23,91,41,37,43,44,24,21,23,4,19
"9656","K20461",60,41,138,70,85,64,195,191,189,195,183,96,69,49,58,42
"9657","K20463",2,4,14,6,2,8,2,12,3,4,4,0,0,0,0,0
"9658","K20465",6,12,13,14,15,6,0,0,0,0,0,0,0,0,0,0
"9659","K20466",726,714,897,1080,830,1140,1082,1034,1494,1089,946,1206,1125,1660,908,965
"9660","K20467",271,273,255,351,273,390,381,296,501,435,282,429,422,582,324,327
"9661","K20468",415,377,451,432,378,486,746,488,805,814,800,633,596,874,520,745
"9662","K20469",1980,1822,2044,2457,1123,1688,2867,2290,2975,2423,2491,2623,2090,2801,2214,2451
"9663","K20470",639,647,870,857,685,1119,1059,953,1435,1119,1060,1184,972,1557,876,948
"9664","K20473",2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0
"9665","K20480",60,83,152,64,166,74,120,104,39,39,31,10,12,9,12,7
"9666","K20483",48,31,80,53,56,59,349,409,535,505,489,85,101,94,105,51
"9667","K20484",12,8,32,19,12,8,124,169,234,179,128,111,74,102,95,88
"9668","K20485",215,197,35,194,1332,53,0,4,4,0,0,153,174,186,192,114
"9669","K20486",15,14,31,16,9,21,28,11,15,20,20,9,17,18,6,14
"9670","K20487",142,180,359,221,236,318,112,89,148,99,81,192,168,182,52,163
"9671","K20488",125,92,201,94,130,194,108,112,108,117,124,184,260,210,118,276
"9672","K20490",22,13,62,25,57,288,105,100,127,83,75,11,18,15,10,12
"9673","K20491",9,10,55,33,58,113,81,74,72,61,64,30,14,22,18,21
"9674","K20492",12,3,31,21,63,138,38,54,54,46,49,5,5,3,0,4
"9675","K20495",26,8,21,47,31,46,57,27,59,45,55,37,17,21,23,18
"9676","K20497",3180,2800,4208,3473,2909,4089,6786,4895,6825,5338,4973,5683,5001,6386,3639,4278
"9677","K20498",17,13,24,20,38,33,16,18,29,28,30,42,41,19,13,13
"9678","K20511",11,10,4,4,0,2,0,0,0,0,0,59,47,17,44,41
"9679","K20523",407,399,583,503,812,469,566,554,604,552,546,644,493,553,619,454
"9680","K20525",419,360,195,497,292,56,35,66,79,91,67,234,213,211,218,129
"9681","K20527",629,557,1072,642,656,1094,2787,1995,2395,2443,2273,1066,987,1220,948,839
"9682","K20528",289,279,460,307,275,496,1278,868,1125,974,1027,450,436,545,385,348
"9683","K20529",242,240,439,285,261,415,971,677,896,880,792,366,352,393,356,300
"9684","K20530",1643,1524,2971,1668,1621,2935,6702,5078,6111,5983,5944,2699,2400,3000,2280,2325
"9685","K20531",530,441,927,474,480,804,2073,1581,1832,1734,1754,781,748,867,637,660
"9686","K20532",644,548,1119,617,676,1089,2603,2110,2372,2115,2405,967,971,1094,822,816
"9687","K20533",801,684,1295,688,730,1283,3355,2635,2736,3031,2978,1143,1103,1316,1045,1009
