"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1917","K02554",514,491,870,673,668,875,1381,1208,1596,1392,1569,1202,1131,1424,974,1103
"1918","K02556",3090,2662,2456,2555,4335,6296,3240,2506,2329,2611,2629,2307,1986,1995,2355,1872
"1919","K02557",5799,5098,4109,4853,6027,5980,6861,5849,5740,6665,6780,5913,4803,5145,5672,4871
"1920","K02558",1393,1453,1676,1815,1805,1699,3704,3668,3092,3676,3827,2452,1742,2069,2071,1631
"1921","K02560",0,0,10,4,2,3,26,41,38,31,33,0,0,0,0,0
"1922","K02563",10378,9843,8936,11212,9584,8649,7086,6315,6676,6939,6566,12062,10188,11175,10424,10740
"1923","K02564",5128,4635,3710,4644,4710,3233,2974,2966,3146,2946,2607,8062,6390,8309,7462,7859
"1924","K02565",365,397,401,423,424,606,235,212,323,322,269,200,154,261,251,187
"1925","K02566",3225,3171,2290,3169,2298,1902,1844,1419,1526,1284,1187,3534,2926,3402,2840,3212
"1926","K02567",436,504,1454,474,556,1682,3157,2470,2223,2417,2506,904,826,896,728,508
"1927","K02568",62,76,233,64,100,389,669,494,397,423,510,153,146,178,120,81
"1928","K02569",154,197,470,145,227,674,1440,1290,949,1095,1197,461,361,351,363,232
"1929","K02570",28,25,90,21,37,101,268,250,186,162,220,57,49,47,35,21
"1930","K02571",7,2,5,0,2,0,32,27,37,35,21,22,24,25,2,12
"1931","K02572",390,431,270,674,696,683,354,256,178,191,209,478,374,259,302,233
"1932","K02573",1108,993,761,980,810,1056,1319,1084,727,839,970,2505,2104,2112,2413,1849
"1933","K02574",2149,2099,1736,1788,1048,1710,1532,1219,812,895,942,3133,2503,2959,2710,2685
"1934","K02575",2689,2605,5693,3113,2793,5254,10251,8548,9923,10197,10874,4827,4313,5485,4045,4153
"1935","K02577",139,116,229,178,125,125,303,232,305,299,204,219,239,291,122,120
"1936","K02578",6,8,6,14,6,8,4,0,3,8,1,4,3,6,0,2
"1937","K02579",0,0,7,0,0,6,0,7,0,3,1,0,0,0,0,0
"1938","K02584",8894,8541,4916,10537,2762,2766,3559,2817,2330,3057,3617,12601,10068,10243,11963,9904
"1939","K02585",1424,1115,709,1074,2424,3757,722,526,302,320,496,1000,943,910,978,1048
"1940","K02586",1794,1339,563,1617,3199,3444,691,494,304,335,470,812,802,630,579,577
"1941","K02587",1218,1087,984,821,1251,2446,665,459,266,277,431,856,668,608,768,601
"1942","K02588",1467,1125,867,1081,2278,4757,476,360,179,259,356,649,515,505,617,422
"1943","K02589",16,11,26,40,102,27,28,15,7,10,19,187,152,111,138,124
"1944","K02590",14,10,21,42,77,14,5,17,8,4,10,129,89,93,99,81
"1945","K02591",1801,1587,654,1664,3267,4665,762,411,336,309,525,785,697,685,515,517
"1946","K02592",92,74,157,90,164,284,599,385,204,252,402,412,293,270,378,247
"1947","K02593",4,1,32,4,6,48,95,67,51,54,83,5,8,0,2,0
"1948","K02594",1536,896,667,964,2650,466,561,432,278,280,388,911,839,956,881,820
"1949","K02595",11,11,20,11,10,77,149,103,43,65,80,7,12,6,13,2
"1950","K02596",22,19,110,21,47,264,466,338,155,187,283,54,59,61,13,62
"1951","K02597",13,14,33,10,21,113,242,177,96,123,194,2,6,4,8,0
"1952","K02598",83,64,186,115,117,112,833,653,680,412,452,221,189,189,151,245
"1953","K02599",735,653,140,915,43,34,325,200,227,234,305,323,278,323,212,234
"1954","K02600",14131,12899,12532,15847,11967,11726,10160,8655,8944,9331,9006,15285,12888,14952,13235,13430
"1955","K02601",7827,7441,6597,8674,7372,6500,5449,4717,4944,4867,4617,8556,7418,8066,7582,7352
"1956","K02603",4,3,8,5,10,15,0,4,4,2,6,0,0,0,0,0
"1957","K02604",2,2,6,2,2,5,0,0,0,0,0,0,0,0,2,6
"1958","K02609",195,221,805,204,271,758,1565,1548,1540,1838,1778,506,426,462,418,417
"1959","K02610",48,58,236,75,83,244,597,544,572,702,694,186,122,195,157,139
"1960","K02611",108,123,428,138,135,464,1213,1161,1117,1193,1307,326,274,371,297,277
"1961","K02612",237,229,591,294,352,570,1415,1248,1339,1266,1524,443,390,435,410,456
"1962","K02613",889,674,1265,810,565,1178,2223,2316,2165,2573,2412,973,799,977,876,744
"1963","K02614",1806,1700,1921,1641,1481,3333,2958,2784,2719,2916,2806,3429,2784,2932,3242,2607
"1964","K02615",315,267,307,362,98,163,270,215,191,267,205,265,221,255,218,182
